keyword,max_score,mean_score,document_frequency,gram_length
may,0.06738061036317129,0.03531699107021857,8,1
heirs,0.06688619240482889,0.007431799156092099,1,1
ideas,0.06490918533157546,0.027996938057399015,8,1
users,0.06465611517767242,0.02485136735452148,8,1
class projects,0.06449850647464801,0.007166500719405335,1,2
software,0.06438882012348397,0.024232637667592632,9,1
class,0.06401772524849118,0.009634081083448287,5,1
facebook,0.06336498884829071,0.010424138630869821,2,1
pay,0.0631236300347665,0.016899542244336648,5,1
vesting,0.06279857006599157,0.006977618896221286,1,1
computer,0.06240780650265782,0.01154002801596233,6,1
terms,0.06181103990905249,0.01310811959249214,5,1
even,0.061705952618338805,0.04122182924270074,9,1
investor,0.061120761684216755,0.008610044066651624,4,1
much,0.06095803985098155,0.036378846507334535,9,1
century,0.06075922886250336,0.0095962478262203,4,1
experience,0.06046584353507269,0.01613385463275151,7,1
games,0.060017801997248724,0.0066686446663609695,1,1
rugby,0.060017801997248724,0.0066686446663609695,1,1
something friends,0.060017801997248724,0.0066686446663609695,1,2
shares,0.05995253321976982,0.007984468660383699,3,1
parents,0.059592156140913205,0.011670240936062032,5,1
driven,0.05894298844282407,0.008783671178343166,3,1
time,0.05849323751101606,0.03481569567512271,9,1
lawyer,0.05834473926669728,0.007139745142849667,2,1
product,0.05823646595420583,0.02009379187969773,6,1
round,0.05817509638499058,0.011732595697670014,5,1
going,0.05750069939512733,0.031977700583294265,9,1
grad,0.05748594837575656,0.018374514774671436,6,1
hubs,0.05725645081130445,0.007226533668163599,2,1
pattern,0.05725645081130445,0.008955945268645368,2,1
startup hubs,0.05725645081130445,0.007226533668163599,2,2
development,0.05659294867062862,0.007895411433406751,4,1
got rich,0.05649314296489426,0.006934012220427108,2,2
fast,0.05623547140774212,0.01354180502174841,6,1
successful startups,0.05623547140774212,0.012045251545414382,6,2
business people,0.056006209455706266,0.00622291216174514,1,2
take,0.05541952729514779,0.02343703716169297,8,1
also,0.055351656563098345,0.028595086532650867,9,1
adult,0.055320531426827045,0.006803722049530751,2,1
summer,0.055320531426827045,0.010470254715296314,2,1
obvious,0.05509402866358217,0.01184862910621339,3,1
programming,0.05509402866358217,0.013098133909949156,3,1
valuable,0.0549255067012948,0.0210759603234684,7,1
apple,0.054606830689825595,0.013242845077075885,6,1
hackers,0.05459668683206796,0.014775559129227752,6,1
product development,0.05451231127937777,0.006056923475486419,1,2
web startups,0.054231940860678916,0.006025771206742102,1,2
actor,0.054081846123338245,0.006009094013704249,1,1
committing,0.054081846123338245,0.006009094013704249,1,1
constraint,0.054081846123338245,0.006009094013704249,1,1
100 richest,0.053508953923863116,0.0059454393248736795,1,2
crust,0.053508953923863116,0.0059454393248736795,1,1
driven good,0.053508953923863116,0.0059454393248736795,1,2
driven good making,0.053508953923863116,0.0059454393248736795,1,3
good making deals,0.053508953923863116,0.0059454393248736795,1,3
ice,0.053508953923863116,0.0059454393248736795,1,1
making deals,0.053508953923863116,0.0059454393248736795,1,2
morgan,0.053508953923863116,0.0059454393248736795,1,1
really driven,0.053508953923863116,0.0059454393248736795,1,2
really driven good,0.053508953923863116,0.0059454393248736795,1,3
rich starting,0.053508953923863116,0.0059454393248736795,1,2
ordinary,0.05263692509038733,0.009511761785384203,4,1
number,0.05263089412551719,0.024884044485187086,7,1
founder,0.05182786588720516,0.016008396435552172,7,1
well,0.051750629455614594,0.02751971523865319,9,1
problem,0.05168858516073125,0.02656053178758081,8,1
buy,0.051104018755064096,0.01596025743802942,7,1
tell,0.050847202187266884,0.020524198048116473,8,1
young,0.05080123335388548,0.01879685695505803,8,1
us,0.05041410875179106,0.019134065902320734,8,1
better,0.050137060723728054,0.03151052553815896,9,1
